Vessel/Spill,Address,Lat/Lng,Date,Minimum Spill,Maximum Spill,Company,Refs
Othello,"Sweden, Trälhavet Bay","59.46688779999999, 18.3217529",20-Mar-70,50000,60000,,[151][174]
Platform Charlie,"United States, Louisiana","30.9842977, -91.96233269999999",10-Feb-70,,,,[276]
SS Arrow,"Canada, Chedabucto Bay, Nova Scotia","45.4118163, -61.2146564",04-Feb-70,10330,10330,,[277]
Hamilton Trader,"United Kingdom, Liverpool Bay, Irish Sea","53.4677477, -3.2436527",30-Apr-69,546,546,,[278]
Santa Barbara,"United States, Santa Barbara, California","34.4208305, -119.6981901",28-Jan-69,6000,14000,,[279]
Witwater,"Panama, Canal Zone, Galeta Island","9.4008333, -79.8697222",13-Dec-68,1910,1910,,[280]
World Glory,"South Africa, 65 miles ENE of Durban","-29.85868039999999, 31.0218404",13-Jun-68,44058,46000,World Tankers Co. Inc.,[281][282][283]
Genevieve,"United States, Corpus Christi, Texas","27.8005828, -97.39638099999999",25-Apr-68,,,Lykes Brothers Steamship Co. Ltd.,[284]
Andron,"Namibia, between Luderitz and Walvis Bay","-26.6420382, 15.1639082",08-May-68,,,,[285][286]
Esso Essen,South Africa,"-30.559482, 22.937506",Apr-68,4092,4092,,[285]
General Colocotronis,"Bahamas, Eleuthera","24.9314461, -76.18996609999999",07-Mar-68,5047,5047,,[287]
Ocean Eagle,"Puerto Rico, San Juan, Puerto Rico","18.4655394, -66.1057355",03-Mar-68,12000,12500,Transocean Tankers Inc.,[288][289]
R.C. Stoner,"United States, Pacific Ocean, Wake Island","19.279619, 166.6499348","1,967",20000,20000,,[260]
Torrey Canyon,"United Kingdom, Cornwall and Isles of Scilly","50.270951, -5.023262",18-Mar-67,80000,119000,,[151][163]
Mississippi River oil spill (1962–1963),"United States, Savage and Mankato, Minnesota","44.1513247, -94.0005078",8 December 1962 � 23 January 1963,11000,15000,,
African Queen,"United States, Ocean City, Maryland","38.3365032, -75.0849058",30-Dec-58,21000,21000,,[290][291]
Avila Beach pipeline,"United States, Avila Beach, California","35.1800113, -120.7319127",1950's � 1996,1300,1300,,[292]
Guadalupe Oil Field,"United States, Guadalupe, California","34.971644, -120.5718363",1950's � 1994,29000,29000,,[292]
Sliedrecht,"South Africa, Cape Town, Table Bay","-33.883333, 18.45",Nov-53,1000,1000,,[293]
SS Jacob Luckenbach,"United States, Gulf of the Farallons National Marine Sanctuary, San Francisco, California","37.8232112, -122.9888319",14 July 1953 � present,1484,1484,,[294]
Esso Wheeling,"South Africa, Quoin Point near Cape Town","-34.3568425, 18.4739882",04-Nov-48,,,,[295]
Lincoln,"South Africa, Quoin Point near Cape Town","-34.3568425, 18.4739882",1946,,,,[295]
"Greenpoint, Brooklyn","United States, Greenpoint, Brooklyn, New York","40.7304701, -73.95150319999999",1940s � 1950s,55200,97400,,[296]
Seria Field 14 wells,Brunei,"4.535277, 114.727669",12 June 1945 � September 1945,,,,[297][298][299]
Scuttled tanker El Grillo,"Iceland, Seyðisfjörður","65.2598494, -14.0101156",February 1944 � present,,,,[300]
SS Frank H. Buck / SS President Coolidge collision,"United States, San Francisco Bay, California","37.6909682, -122.3107517",06-Mar-37,8870,8870,,[273][301]
Lakeview Gusher,"United States, Kern County, California","35.4937274, -118.8596804",14 March 1910 � 10 September 1911,1230000,1230000,,[302]
Thomas W. Lawson,"United Kingdom, Isles of Scilly","49.9277261, -6.3274966",14-Dec-07,7400,7400,,[303]
SS Petriana,"Australia, Port Phillip Bay, Victoria","-38.173206, 144.8731219",30-Nov-03,1300,1300,Asiatic Petroleum Company,[304]
